pdf_link,pdf_year,row_id,Receiver,From,Justification,Gift,Disposition,Gift_Rec_Date,Value_USD
http://www.state.gov/documents/organization/234202.pdf,2014,4.37,"The Honorable Barack Obama, President of the United States.","The Honorable Tony Abbott, MP, Prime Minister of Australia.",Non-acceptance would cause embarrassment to donor and U.S. Government.,9.5′ white and blue longboard with friendship flags and the Presidential Seal. Black leather boots,National Archives and Records Administration.,2014-06-11,"2,371.21"
http://www.state.gov/documents/organization/234202.pdf,2014,4.38,"The Honorable Barack Obama, President of the United States.","His Excellency Jorge Carlos Fonseca, President of the Republic of Cabo Verde.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"72″ x 32″ painting on canvas of four people in a beach setting listening to a guitar player. Autographed book, title: Kiki Lima",National Archives and Records Administration.,2014-08-04,"1,055.87"
http://www.state.gov/documents/organization/234202.pdf,2014,5.42,"The Honorable Barack Obama, President of the United States.","His Excellency Daniel Kablan Duncan, Prime Minister of the Republic of Côte d’Ivoire.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Framed painting, title: Le Joueur de Cara depicting a man playing a stringed instrument and singing composed in multiple colors and patterns. Bronze staff simulating woven thread set on a six-inch piece of tapered wood",National Archives and Records Administration.,2014-08-04,"1,035.00"
http://www.state.gov/documents/organization/234202.pdf,2014,5.43,"The Honorable Barack Obama, President of the United States.","His Excellency Ahn Ho-Young, Ambassador of the Republic of Korea to the United States.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Lacquer-ware box with mother of pearl design,National Archives and Records Administration.,2014-08-05,490.00
http://www.state.gov/documents/organization/234202.pdf,2014,5.44,"The Honorable Barack Obama, President of the United States.","His Majesty Mswati III, King of the Kingdom of Swaziland.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Chess set of a mirrored board and silver pieces with felt bottoms,National Archives and Records Administration.,2014-08-06,445.00
http://www.state.gov/documents/organization/234202.pdf,2014,5.45,"The Honorable Barack Obama, President of the United States.","His Excellency Blaise Compaoré, President of Burkina Faso.",Non-acceptance would cause embarrassment to donor and U.S. Government.,16″ brass and copper statue of a man playing stringed instrument. 37″ x 30″ framed copper relief of a family village scene,National Archives and Records Administration.,2014-08-07,880.00
http://www.state.gov/documents/organization/234202.pdf,2014,5.46,"The Honorable Barack Obama, President of the United States.","His Excellency Abdalla Alteni, Prime Minister of the State of Libya.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"8′ x 4′ carpet with multi-colored stripes, patterns, camels, and white fringe. 20.5″ silver circular platter engraved with building and text ‘‘Interim Government of Libya’’",National Archives and Records Administration.,2014-08-07,600.00
http://www.state.gov/documents/organization/234202.pdf,2014,5.47,"The Honorable Barack Obama, President of the United States.","His Excellency Faure Gnassingbé, President of the Republic of Togo.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"39″ x 39″ two panel painting of abstract human figures and symbols in earth tones and white. Three pieces of traditional clothing, one piece gray, black, and white, one piece blue and yellow, and one piece red and gold",National Archives and Records Administration.,2014-08-07,"1,940.00"
http://www.state.gov/documents/organization/234202.pdf,2014,5.48,"The Honorable Barack Obama, President of the United States.","His Excellency Joseph Kabila Kabange, President of the Democratic Republic of the Congo.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"34″ x 26″ framed black and white painting, comprised of abstract forms of faces and nature",National Archives and Records Administration.,2014-08-08,550.00
http://www.state.gov/documents/organization/234202.pdf,2014,6.52,"The Honorable Barack Obama, President of the United States.","His Excellency Dr. Goodluck Jonathan, President of the Federal Republic of Nigeria.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Book, title: Goodluck Jonathan— Champion for Women. Two framed and matted pencil drawings of President Obama, one as a Senator and one as President. 40″ x 14″ relief art, title: Ijaw Fisherman with bronze paint",National Archives and Records Administration.,2014-08-08,630.00
http://www.state.gov/documents/organization/234202.pdf,2014,6.53,"The Honorable Barack Obama, President of the United States.","His Excellency Alhaji Dr. Yahya A.J.J. Jammeh, President of the Republic of The Gambia.",Non-acceptance would cause embarrassment to donor and U.S. Government.,31″ x 31″ yellow and orange painting with a metal rod attached to top with spear heads on each end. 56″ Kora stringed instrument,National Archives and Records Administration.,2014-08-12,"1,380.00"
http://www.state.gov/documents/organization/234202.pdf,2014,6.54,"The Honorable Barack Obama, President of the United States.","His Excellency Abdelmalek Sellal, Prime Minister of the People’s Democratic Republic of Algeria.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Ceremonial dagger decorated with detailed silver work and coral stones,National Archives and Records Administration.,2014-08-21,885.00
http://www.state.gov/documents/organization/234202.pdf,2014,6.5600000000000005,"The Honorable Barack Obama, President of the United States.",The Government of the United Kingdom of Great Britain and Northern Ireland.,Non-acceptance would cause embarrassment to donor and U.S. Government.,"Limited-edition print, title: Celtic Approach. Cufflinks of the Celtic Manor Resort. 9″ x 14″ x 14″ basket of woven wood. Book, title: ‘‘Collected Poems 1934– 1953’’ by Dylan Thomas. Package of sea salt. 8″ x 6″ fabric personal journal. Computer USB accessory. 88″ x 68″ blanket with red and black peony pattern. Four coasters, black with four gray symbols",National Archives and Records Administration. Perishable items handled pursuant to United States Secret Service policy.,2014-09-05,736.31
http://www.state.gov/documents/organization/234202.pdf,2014,6.57,"The Honorable Barack Obama, President of the United States.","His Excellency Zhang Gaoli, Executive Vice Premier of the People’s Republic of China.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Olive green ceramic vase with a crisscross floral pattern and matching lid set on a varnished brown wooden stand,National Archives and Records Administration.,2014-09-22,450.00
http://www.state.gov/documents/organization/234202.pdf,2014,6.58,"The Honorable Barack Obama, President of the United States.","His Majesty Sultan Haji Hassanal Bolkiah Mu’izzaddin Waddaulah ibni Al-Marhum Sultan Haji Omar Ali Saifuddien Sa’adul Khairi Waddien, Sultan and Yang Di-Pertuan of Brunei Darussalam.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Octagonal box of polished silver featuring a floral pattern and the Emblem of Brunei Darussalam set on a pedestal under glass,National Archives and Records Administration.,2015-09-25,"1,400.00"
http://www.state.gov/documents/organization/234202.pdf,2014,7.62,"The Honorable Barack Obama, President of the United States.","His Excellency Wang Yi, Minister of Foreign Affairs of the People’s Republic of China.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Porcelain vase with a blue and white floral pattern set on a dark brown wooden base. CD collection, title: Elegant Sound of China",National Archives and Records Administration.,2014-10-07,565.58
http://www.state.gov/documents/organization/234202.pdf,2014,7.63,"The Honorable Barack Obama, President of the United States.","His Excellency Xi Jinping, President of the People’s Republic of China.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Two 34″ x 34″ x 17″ half tables, painted black and gold, with images of pheasants in a natural setting. 49″ x 61″ framed painting in black, white, and gray of a mountain scene and small structures. Commemorative stamp set mounted on eight screen panels, wrapped in silkfloss sheets, and held in a dark wooden case. 83″ x 83″ x 150″ cloisonne pot themed ‘‘Peace Across Four Seas,’’ set on a wood base. Navy blue silk robe with fuchsia lining and floral embroidery inscribed with the APEC logo and includes pockets and a belt. Painting on a scroll depicting scenes of Beijing past and present set on a stand. Two tablet computers, each with case. Red and white cloisonne style fountain pen and signing pen. Black leather computer bag stamped with APEC logo. Teal and black silk jacket with simulated inner jacket and four buttons. Maroon and black silk jacket with simulated inner jacket and four buttons. Cream color silk Nehru shirt",National Archives and Records Administration.,2014-11-07,"8,105.96"
http://www.state.gov/documents/organization/234202.pdf,2014,7.64,"The Honorable Barack Obama, President of the United States.",Government of the Republic of Union of Myanmar.,Non-acceptance would cause embarrassment to donor and U.S. Government.,"Black velvet flip flop sandals. Infinity scarf with burgundy, gray, and white stripes. Infinity scarf with silver and light blue stripes. Two white dress shirts with pocket. Off-white tunic with long sleeves, pockets, and knotted straps in front. Black tunic with long sleeves, pockets, and knotted straps in front. Twotoned blue cashmere shawl with teal embroidery. Dress shirt in shades of purple silk. Teal dress shirt with fuchsia embroidery striping",National Archives and Records Administration.,2014-11-08,"2,168.00"
http://www.state.gov/documents/organization/234202.pdf,2014,8.68,"The Honorable Barack Obama, President of the United States.","His Excellency U Thein Sein, President of the Republic of Union of Myanmar.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"30″ x 40″ painting on fiber board, facsimile of a mural in Myinkaba Kubyauk-gyi Temple. 29″ x 35″ framed painting of the head and shoulders of President Obama, wearing a suit and gazing upward. 12″ x 8″ model of a Burmese harp made of silver. Brown leatherette briefcase with zippered top, stamped ‘‘Myanmar 2014.’’ Book, title: Bamar Snacks Volumes 1 and 2. Booklet, title: ASEAN Summit Leaders. Book, title: Friendly Myanmar. 2014 calendar. Black ballpoint pen. Silver-tone keychain. Business card case. Notebook. Fountain pen with white gold and snowflake emblem",National Archives and Records Administration.,2014-11-09,"2,925.00"
http://www.state.gov/documents/organization/234202.pdf,2014,8.69,"The Honorable Barack Obama, President of the United States.","Daw Aung San Suu Kyi, Chair of the National League for Democracy and Chairperson of the Phithu Hluttaw Committee for Rule of Law and Tranquility of the Republic of the Union of Myanmar.",Non-acceptance would cause embarrassment to donor and U.S. Government.,3″ x 6.5″ x 4.5″ silver box with hinged lid depicting a royal figure surrounded by five attendants,National Archives and Records Administration.,2014-11-14,465.00
http://www.state.gov/documents/organization/234202.pdf,2014,8.7,"The Honorable Barack Obama, President of the United States.","His Excellency Bohuslav Sobotka, Prime Minister of the Czech Republic.",Non-acceptance would cause embarrassment to donor and U.S. Government.,27″ x 30″ framed photograph of former Czech President Vaclav Havel,National Archives and Records Administration.,2014-11-18,650.00
http://www.state.gov/documents/organization/234202.pdf,2014,8.71,"The Honorable Barack Obama, President of the United States.","General Raheel Sharif, Chief of Army Staff of the Islamic Republic of Pakistan.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Silver bowl set on a wooden pedestal. White pashmina scarf with pink and purple flowers,National Archives and Records Administration.,2014-11-19,495.00
http://www.state.gov/documents/organization/234202.pdf,2014,8.72,"The Honorable Barack Obama, President of the United States.","His Majesty Sultan Haji Hassanal Bolkiah Mu’izzaddin Waddaulah ibni Al-Marhum Sultan Haji Omar Ali Saifuddien Sa’adul Khairi Waddien, Sultan and Yang Di-Pertuan of Brunei Darussalam.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Three 4″ 5″ and 6″ in diameter nesting bowls of clear glass crystal shaped like a spinning top. Four 4″ height x 3″ in diameter rocks glasses shaped like a spinning top. 10″ x 10″ x 15″ cheese tray made of walnut. Book, title: In Color, by Ansel Adams. Book, title: People You’d Like to Know. Book, title: Unlikely Heroes. Automatic tea infuser in penguin shape with timer. Chess set of wooden board and pieces. Twelve scented votive candles. Botanic candle of Saffron de Bois. Scented oil diffuser. 24″ x 15″ x 10″ deep purple snakeskin design storage trunk with silvertone fastener and handles",National Archives and Records Administration.,2014-12-01,"1,277.89"
http://www.state.gov/documents/organization/234202.pdf,2014,9.76,"The Honorable Barack Obama, President of the United States.","His Majesty Abdullah II ibn Al Hussein, King of the Hashemite Kingdom of Jordan.",Non-acceptance would cause embarrassment to donor and U.S. Government.,13″ wood box decorated with mosaic pattern of gray and beige tiles and gold-tone crown,National Archives and Records Administration.,2014-12-04,490.00
http://www.state.gov/documents/organization/234202.pdf,2014,9.77,"The Honorable Barack Obama, President of the United States.","His Royal Highness Prince William, Duke of Cambridge.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Framed, matted, and signed photographic portrait of Prince William",National Archives and Records Administration.,2014-12-08,888.00
http://www.state.gov/documents/organization/234202.pdf,2014,9.78,"The Honorable Barack Obama, President of the United States.","His Majesty Sultan Haji Hassanal Bolkiah Mu’izzaddin Waddaulah ibni Al-Marhum Sultan Haji Omar Ali Saifuddien Sa’adul Khairi Waddien, Sultan and Yang Di-Pertuan of Brunei Darussalam.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Two 20″ x 15.5″ and 18″ x 30″ wooden trays coated with green and white resin in a floral pattern,National Archives and Records Administration.,2014-12-22,"1,205.00"
http://www.state.gov/documents/organization/234202.pdf,2014,9.79,"The Honorable Barack Obama, President of the United States.","His Excellency Abdelaziz Bouteflika, President of the People’s Democratic Republic of Algeria.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Box of dates. Twelve bottles of wine,National Archives and Records Administration.,2014-12-23,475.78
http://www.state.gov/documents/organization/234202.pdf,2014,9.8,"The Honorable Barack Obama, President of the United States, and Mrs. Michelle Obama.","Mr. Vincent Siew, Leader’s Representative to APEC of Chinese Taipei (Taiwan).",Non-acceptance would cause embarrassment to donor and U.S. Government.,6″ amber glass sculpture of a fish splashing out of water,National Archives and Records Administration.,2013-10-06,590.00
http://www.state.gov/documents/organization/234202.pdf,2014,9.81,"The Honorable Barack Obama, President of the United States, and Mrs. Michelle Obama.","His Excellency Hery Rajaonarimapianina, President of the Republic of Madagascar.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Gold pin in the shape of a bull’s head with three eyes made of gemstones. 8′ black scarf with gold thread embroidery. Gold tie pin with rectangular sapphire gem,National Archives and Records Administration.,2014-08-04,696.00
http://www.state.gov/documents/organization/234202.pdf,2014,9.82,"The Honorable Barack Obama, President of the United States, and Mrs. Michelle Obama.","The Right Honorable Dr. Navinchandra Ramgoolam, GCSK, FRCP, Prime Minister of the Republic of Mauritius.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Two 14″ x 18″ paintings of a beach scene in vivid color,National Archives and Records Administration.,2014-08-04,900.00
http://www.state.gov/documents/organization/234202.pdf,2014,9.83,"The Honorable Barack Obama, President of the United States, and Mrs. Michelle Obama.","His Excellency Ikililou Dhoinine, President of the Union of the Comoros.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Two 10″ x 5″ x 3″ boxes of carved wood, one with red velvet lining, one with purple velvet lining. Various whole spices and oils. Black scarf with white and golden printed design. Framed painting of the islands of the Union of Comoros with individual cities and a wooden fish attached",National Archives and Records Administration. Perishable items handled pursuant to United States Secret Service policy.,2014-08-04,475.00
http://www.state.gov/documents/organization/234202.pdf,2014,10.87,"The Honorable Barack Obama, President of the United States, and Mrs. Michelle Obama.","His Excellency Ibrahim Boubacar Non-a Keı̈ta, President of the Republic b of Mali. G",cceptance would cause emarrassment to donor and U.S. overnment.,Two chiwara (male and female) mounted on patterned black fabric background. Two black masks mounted on painting of tan and orange landscape and black fabric,National Archives and Records Administration.,2014-08-09,515.00
http://www.state.gov/documents/organization/234202.pdf,2014,10.88,"The Honorable Barack Obama, President of the United States, and Mrs. Michelle Obama.","His Excellency Ollanta Humala Tasso, President of the Republic of Peru.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Wood statue of a man and woman dancing in jewel-ornamented formal wear. Wood statue with gold inlay and metal decoration,National Archives and Records Administration.,2014-09-23,750.00
http://www.state.gov/documents/organization/234202.pdf,2014,11.92,"The Honorable Barack Obama, President of the United States, and Mrs. Michelle Obama.","His Excellency Narendra Modi, Prime Minister of the Republic of India.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Digital recordings, titles: ‘‘Visit of Reverend Martin Luther King to India,’’ ‘‘Visit of Mrs. Coretta Scott King to Accept Jawaharlal Nehru Award for International Understanding to Reverend Martin Luther King (Posthumously) for the Year 1966 in January, 1969,’’ and ‘‘The Spirit of Mahatma Gandhi.’’ Pink-red tablecloth, fabric with flower designs. Sheer tan tablecloth fabric with gold thread embroidery border. Book, title: Srimad Bhagavad Gita. Special-edition book, title: Bhagavad Gita According to Gandhi. Golden fabric bag covered in floral white lace, closed by triangular flap with a gold and diamond pendant at the point. Short tan kurta with golden thread trim and concealed buttons. Tan vest with golden thread trim and concealed buttons. Tan pants with drawstring. 10″ x 12″ framed photograph of Dr. Martin Luther King, Jr. setting flowers at Mahatma Gandhi’s Memorial at Rajghat in 1959. 24″ x 32″ framed Rogan Art painting, mostly red with green and golden detail, featuring a central spiral object. 24″ x 32″ framed Rogan Art painting; mostly green with golden detail, featuring a central object resembling a peacock. Purple dress with small gems and multi-colored embroidery of peacocks, flowers, and vines, sleeveless. Blue mid-length dress with sleeves with red and golden embroidery and gems in stripe and leaf pattern. Cream colored pashmina shawl with light orange and green stitching. Cream colored pashmina shawl with light gray stitching. Tan tunic with gray thread embroidery around the collar, sleeves, and bottom. Tan pants with drawstring",National Archives and Records Administration.,2014-09-29,"7,385.93"
http://www.state.gov/documents/organization/234202.pdf,2014,11.93,"The Honorable Barack Obama, President of the United States, and Mrs. Michelle Obama.","Mr. Vincent Siew, Leader’s Representative to APEC of Chinese Taipei (Taiwan).",Non-acceptance would cause embarrassment to donor and U.S. Government.,"6″ x 4″ x 5″ limited-edition sculpture with 3,000 pieces of amber lead crystal, title: ‘‘Harmonious Beauty’’",National Archives and Records Administration.,2014-11-09,470.00
http://www.state.gov/documents/organization/234202.pdf,2014,12.97,"Mrs. Michelle Obama, First Lady of the United States.","Abdullah bin Abdulaziz Al-Saud, Custodian of the Two Holy Mosques, King of the Kingdom of Saudi Arabia.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Diamond and emerald jewelry set including necklace, earrings, ring, and bracelet",National Archives and Records Administration.,2014-01-14,"560,000.00"
http://www.state.gov/documents/organization/234202.pdf,2014,12.98,"Mrs. Michelle Obama, First Lady of the United States.","His Excellency François Hollande, President of the French Republic.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Six-tier vase of multi-colored crystal,National Archives and Records Administration. Wine handled pursuant to United States Secret Service Policy.,2014-02-09,"4,900.00"
http://www.state.gov/documents/organization/234202.pdf,2014,12.99,"Mrs. Michelle Obama, First Lady of the United States.","Mrs. Peng Liyuan, First Lady of the People’s Republic of China.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Purple and orange silk shawl with embroidered clouds and waves. Purple and orange silk purse with embroidered clouds and waves. Set of audio and video recordings of Madame Peng Liyuan performing folk songs. Book, title A Dream of Red Mansions, by Sun Wen of the Qing Dynasty",National Archives and Records Administration.,2014-03-21,"1,287.99"
http://www.state.gov/documents/organization/234202.pdf,2014,13.0,"Mrs. Michelle Obama, First Lady of the United States.","Abdullah bin Abdulaziz Al-Saud, Custodian of the Two Holy Mosques, King of the Kingdom of Saudi Arabia.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Diamond and pearl jewelry set including necklace, earrings, ring, and bracelet",National Archives and Records Administration.,2014-04-15,"570,000.00"
http://www.state.gov/documents/organization/234202.pdf,2014,13.01,"Mrs. Michelle Obama, First Lady of the United States.","Her Majesty Tuanku Sultanah Hajah Haminah binti Hamidun, Raja Permaisuri Agong of Malaysia.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Three-tier silver tiffin carrier with rubies. Silver colored wrap with green, orange, and blue detail",National Archives and Records Administration.,2014-04-26,"2,115.00"
http://www.state.gov/documents/organization/234202.pdf,2014,13.02,"Mrs. Michelle Obama, First Lady of the United States.","Datin Seri Hajah Rosmah binti Mansor, First Lady of Malaysia.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Black silk dress with pink and white pattern. Gray-black dress with white and beige pattern and gemstones. Black kaftan with colorful sequins. Pink-red songket fabric,National Archives and Records Administration.,2014-04-27,650.00
http://www.state.gov/documents/organization/234202.pdf,2014,13.03,"Mrs. Michelle Obama, First Lady of the United States.","Her Excellency Michelle Bachelet, President of the Republic of Chile.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Necklace made of silver with lapis beads. Book, title: Chile",National Archives and Records Administration.,2014-06-29,478.00
http://www.state.gov/documents/organization/234202.pdf,2014,13.04,"Mrs. Michelle Obama, First Lady of the United States.","His Excellency Otto Pérez Molina, President of the Republic of Guatemala.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Embroidered black, red, pink, and tan bag with leather bottom",National Archives and Records Administration.,2014-07-24,620.00
http://www.state.gov/documents/organization/234202.pdf,2014,14.08,"Mrs. Michelle Obama, First Lady of the United States.","Mrs. Sylvia Bongo Ondimba, First NonLady of the Gabonese Republic. ba Go",acceptance would cause emrrassment to donor and U.S. vernment.,"Apple carved from light-colored wood. Brown, white, and gray scarf. Book, title: Visions of Africa: KOTA. Book, title: A Vision for Gabon",National Archives and Records Administration.,2014-08-05,664.95
http://www.state.gov/documents/organization/234202.pdf,2014,14.09,"Mrs. Michelle Obama, First Lady of the United States.","His Majesty Mswati III, King of the Kingdom of Swaziland.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"11″ bowl on pedestal made of recycled glass, decorated with heads of a rhino, elephant, hippo, and water buffalo with a 6″ pedestal in the shape of a hippo. Two customized glass mugs with silver jaguar-shaped handles. Clear glass and metal drink ware set consisting of 8.5″ ice bucket with jaguar heads applied over glass knob handles, six 9.25″ goblets, each featuring silver-tone head of an animal, and set of six bottle stoppers of blown glass in the shape of an animal. Small silver round jewelry box with golden seal of the Kingdom of Swaziland on lid",National Archives and Records Administration.,2014-08-06,"2,761.00"
http://www.state.gov/documents/organization/234202.pdf,2014,14.1,"Mrs. Michelle Obama, First Lady of the United States.","His Excellency Blaise Compaoré, President of Burkina Faso.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Cream color fabric table linen set including 24 napkins with embroidery of plants and animals and two tablecloths with embroidery matching the napkins. Beige rug with black and red pattern,National Archives and Records Administration.,2014-08-07,980.00
http://www.state.gov/documents/organization/234202.pdf,2014,14.11,"Mrs. Michelle Obama, First Lady of the United States.","Mrs. Lordina Mahama, First Lady of the Republic of Ghana.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Kente cloth, two pieces woven with multi-colored pattern. Book, title: The Humanitarian, The Philanthropist",National Archives and Records Administration.,2014-08-07,540.00
http://www.state.gov/documents/organization/234202.pdf,2014,14.120000000000001,"Mrs. Michelle Obama, First Lady of the United States.","Mrs. Marième Faye Sall, First Lady of the Republic of Senegal.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Dining linen set including eight napkins and one tablecloth, white with patterns of leaves or flowers and gray and golden stitching",National Archives and Records Administration.,2014-08-07,440.00
http://www.state.gov/documents/organization/234202.pdf,2014,14.129999999999999,"Mrs. Michelle Obama, First Lady of the United States.","Mrs. Keı̈ta Aminata Maı̈ga, First Non Lady of the Republic of Mali. b G",-acceptance would cause emarrassment to donor and U.S. overnment.,Gold pin in the shape of a flower. Woven rug with black and tan pattern,National Archives and Records Administration.,2014-08-09,605.00
http://www.state.gov/documents/organization/234202.pdf,2014,15.17,"Mrs. Michelle Obama, First Lady of the United States.","His Excellency Alhaji Dr. Yahya A.J.J. Jammeh, President of the Republic of The Gambia.",Non-acceptance would cause embarrassment to donor and U.S. Government.,35″ x 35″ mostly red and black painting with a metal rod attached to the top with spear heads on each end. 56″ Kora stringed instrument,National Archives and Records Administration.,2014-08-12,"1,830.00"
http://www.state.gov/documents/organization/234202.pdf,2014,15.18,"Mrs. Michelle Obama, First Lady of the United States.",Her Majesty Raja Isteri Pengiran Anak Hajah Saleha of Brunei Darussalam.,Non-acceptance would cause embarrassment to donor and U.S. Government.,"Jewelry set made of gold with emeralds and diamonds including a bracelet, ring, and two earrings",National Archives and Records Administration.,2014-09-25,"27,300.00"
http://www.state.gov/documents/organization/234202.pdf,2014,15.19,"Mrs. Michelle Obama, First Lady of the United States.","Mrs. Emine Erdoğan, First Lady of the Republic of Turkey.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Gilded copper Tombak urn with an etched floral pattern,National Archives and Records Administration.,2014-09-30,504.20
http://www.state.gov/documents/organization/234202.pdf,2014,15.2,"Mrs. Michelle Obama, First Lady of the United States.","Mrs. Peng Liyuan, First Lady of the People’s Republic of China.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"5″ x 4.5″ gold filigree handbag lined with white cloth. Gold brooch in the shape of rose petals and leaves. 13.5″ x 13.5″ white silk cloth embroidered with one golden rose and other golden flowers. Purple and tan shawl embroidered with botanical designs from the Qing Dynasty. 12″ x 11″ serving tray on four legs with two handles made of mostly gold with silver adornment on top resting on a flat, oval wooden serving tray on four short legs. Brown and tan leather briefcase with APEC logo lined with purple satin and closed by two gold-tone clasps. Scroll of tan cloth with corresponding Chinese and English script",National Archives and Records Administration.,2014-11-11,"5,420.00"
http://www.state.gov/documents/organization/234202.pdf,2014,15.21,"Mrs. Michelle Obama, First Lady of the United States.","His Excellency U Thein Sein, President of the Republic of the Union of Myanmar.",Non-acceptance would cause embarrassment to donor and U.S. Government.,13mm in diameter champagne pearl mounted to six-petal rosette backing with gold leaves and diamonds surrounding a pink stone. 13.8mm in diameter white pearl mounted to silvertone parachute pendant with diamonds. Silver purse in coffer shape with curved handle,National Archives and Records Administration.,2013-11-13,"26,220.00"
http://www.state.gov/documents/organization/234202.pdf,2014,16.25,First Family,"Mrs. Peng Liyuan, First Lady of the People’s Republic of China.",Non-acceptance would cause embarrassment to donor and U.S. Government.,22″ x 10″ sculpture carved in pink Qingtian stone of 16 galloping horses set on dark wooden base. 6″ x 10″ x 10″ jewelry box made of rosewood with phoenix and peony design,National Archives and Records Administration.,2014-03-21,"3,225.00"
http://www.state.gov/documents/organization/234202.pdf,2014,16.26,First Family,"His Royal Highness Prince Miteb bin Abdullah bin Abdulaziz AlSaud, Minister of the National Guard of the Kingdom of Saudi Arabia.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"10″ model palm tree made of silver and gold set on a green marble base. Kalakas Agarwood with diffuser. Two bottles of perfume named for the King of the Kingdom of Saudi Arabia. Four bottles of perfume. Black and red robe with white trim and intricate beading along the neckline and down the front. Brown and blue paisley robe, with satin purple lining and tassels. Pink-purple sleeveless satin blouse. Pinkpurple satin pants. Dark gray sleeveless robe. Robe of sheer white fabric with a beaded flower pattern and pink-purple trim. Orange sheer fabric floor-length cape. Blue fabric Muumuu with multi-colored detail. Pink-purple Muumuu and golden sheer fabric. Purple fabric cape with dot and floral pattern. Gray fabric cape with red lining and green, red, and silver detail. Dark blue velvet floor-length gown. Red and blue velvet robe with red and white beaded tassels. Cream and golden fabric robe. Taupe fabric robe with golden clusters. Crimson and golden fabric robe. Four storage boxes, two decorated with red and golden foil undercut Lucite and two decorated with green and golden foil undercut Lucite",National Archives and Records Administration. Perfume handled pursuant to the United States Secret Service policy.,2014-11-19,"39,915.00"
http://www.state.gov/documents/organization/234202.pdf,2014,16.27,First Family Children,"Abdullah bin Abdulaziz Al-Saud, Custodian of the Two Holy Mosques, King of the Kingdom of Saudi Arabia.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Diamond and emerald jewelry set including earrings, necklace, ring, brooch, and wristwatch. Diamond and ruby jewelry set including earrings, necklace, ring, brooch, and wristwatch",National Archives and Records Administration.,2014-01-14,"80,000.00"
http://www.state.gov/documents/organization/234202.pdf,2014,17.31,First Family Children,"The Right Honorable John Key, MP, Prime Minister of New Zealand.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Four clothing sets of knit gloves, felted hat, and scarf in dark gray, light gray, purple, and magenta",National Archives and Records Administration.,2014-06-19,801.36
http://www.state.gov/documents/organization/234202.pdf,2014,17.32,White House Staff Member Jane Rhee.,"Mr. Salem al-Ismaily, Special Envoy for the Sultanate of Oman.",Non-acceptance would cause embarrassment to donor and U.S. Government.,12″ Khanjar knife and sheath with detailed silverwork. Metal plate engraved with the image of the Sultan Qaboos Grand Mosque,Transferred to General Services Administration.,2013-03-01,"1,400.00"
http://www.state.gov/documents/organization/234202.pdf,2014,17.33,White House Staff Member Puneet Talwar.,"Mr. Salem al-Ismaily, Special Envoy for the Sultanate of Oman.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Two 14″ and 12″ Khanjar knives with sheath and detailed silver work. Metal plate engraved with the image of the Muscat gate, Oman, and the Coastal Road",Transferred to General Services Administration.,2013-03-03,960.00
