iid,id,gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field_cd,mn_sat,tuition,race,imprace,imprelig,zipcode,income,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es,attr1_s,sinc1_s,intel1_s,fun1_s,amb1_s,shar1_s,attr3_s,sinc3_s,intel3_s,fun3_s,amb3_s,satis_2,length,numdat_2,attr7_2,sinc7_2,intel7_2,fun7_2,amb7_2,shar7_2,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr4_2,sinc4_2,intel4_2,fun4_2,amb4_2,shar4_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2,attr5_2,sinc5_2,intel5_2,fun5_2,amb5_2,you_call,them_cal,date_3,numdat_3,num_in_3,attr1_3,sinc1_3,intel1_3,fun1_3,amb1_3,shar1_3,attr7_3,sinc7_3,intel7_3,fun7_3,amb7_3,shar7_3,attr4_3,sinc4_3,intel4_3,fun4_3,amb4_3,shar4_3,attr2_3,sinc2_3,intel2_3,fun2_3,amb2_3,shar2_3,attr3_3,sinc3_3,intel3_3,fun3_3,amb3_3,attr5_3,sinc5_3,intel5_3,fun5_3,amb5_3
127,6,1,12,1,5,10,7,,10,3,114,0,0.05,0,20,1,20,20,20,20,10,10,0,2,3,2,2,6,2,2,1,2,22,5,,,2,1,1,"1,720",,6,5,1,6,10,8,8,8,5,3,5,5,6,1,7,1,5,8,7,5,10,1,20,25,25,25,15,5,5,,,,,,,20,20,20,20,10,10,8,8,9,9,8,,,,,,0,5,7,7,2,5,2,3,,2,7,,,,,,,,,,,,5,1,3,,,,,,,40,10,10,20,0,20,,,,,,,,,,,,,8,5,10,10,8,,,,,,0,0,0,,,40,20,20,10,5,5,,,,,,,,,,,,,,,,,,,8,8,8,8,8,,,,,
500,5,0,8,1,20,7,6,6,4,5,505,0,0.18,0,27,4,20,14,18,16,16,16,0,5,9,9,8,8,6,7,6,2,25,10,,"25,847.00",1,7,9,"64,129","25,314.00",1,5,3,2,4,2,6,7,7,7,2,2,7,8,5,7,8,8,8,6,5,6,,10,15,35,15,10,15,50,5,10,20,5,10,50,5,10,20,5,10,8,9,9,9,9,8,8,9,8,9,0,6,5,8,5,8,5,5,4,0,1,7,7,10,7,7,7,7,8,9,8,10,3,3,1,30,5,40,10,5,5,40,5,40,5,5,5,70,5,5,10,5,5,70,5,5,10,5,5,8,8,9,8,9,8,8,9,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,3,0,5,2,12,14,12,12,14,13,320,0,-0.13,1,36,2,20,16,16,16,16,16,0,5,8,8,5,7,,6,1,2,28,9,"1,400.00","26,630.00",2,10,10,"11,365","40,695.00",1,4,2,2,4,5,2,8,8,7,6,5,9,9,9,8,7,8,10,9,7,3,,15,20,35,15,5,10,50,0,5,25,0,20,50,0,10,30,0,10,8,9,6,10,9,6,9,10,6,8,0,5,5,5,5,5,5,5,3,0,4,,,,,,,,,,,,6,3,2,,,,,,,20,25,35,5,5,10,35,5,10,20,15,15,35,5,10,20,15,15,8,9,10,7,9,8,9,9,7,8,3,3,1,1,1,15,15,25,15,15,15,15,15,25,15,15,15,30,10,15,25,5,15,30,10,15,25,5,15,8,10,10,9,9,8,9,10,7,8
216,3,1,6,2,9,20,17,16,2,11,204,0,-0.08,1,26,2,19.61,15.69,17.65,15.69,17.65,13.73,0,3,8,10,6,10,7,8,1,1,27,8,,,2,7,1,"10,021","55,080.00",2,5,3,7,2,1,2,7,7,5,3,5,1,13,6,6,7,6,5,2,1,6,,7.5,17.5,20,22.5,12.5,20,10,6,6,10,10,8,19.57,17.39,15.22,17.39,17.39,13.04,5,10,9,9,10,,,,,,0,7,10,10,10,10,5,9,5,1,,13.21,18.87,18.87,18.87,16.98,13.21,6,10,10,9,10,7,1,3,,,,,,,14.81,18.52,18.52,18.52,16.67,12.96,10,8,8,8,8,8,18.18,18.18,12.73,16.36,16.36,18.18,6,10,10,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,7,0,13,2,15,19,12,12,3,14,410,1,-0.35,1,27,2,20,20,20,20,10,10,1,9,10,5,7,3,5,8,8,2,25,9,"1,105.00","14,493.00",2,5,8,"91,011","78,704.00",2,5,3,2,7,5,8,10,10,10,10,6,8,9,6,10,10,8,10,9,8,7,,25,20,20,20,10,5,40,5,10,20,5,20,50,5,10,20,5,10,8,8,6,8,6,7,10,6,8,5,1,10,10,10,10,7,7,9,10,2,,30,5,20,20,20,5,8,7,8,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,20,0,39,2,9,20,8,8,16,19,232,0,0.14,0,31,2,17.78,17.78,17.78,17.78,13.33,15.56,1,8,9,9,9,8,8,8,6,2,25,13,,,3,9,10,"7,410",,2,4,2,7,8,7,9,8,8,7,6,7,7,8,7,10,10,8,9,8,5,7,,15.52,17.24,17.24,17.24,17.24,15.52,9,10,10,10,10,9,18.18,18.18,16.36,18.18,14.55,14.55,8,10,9,9,9,,,,,,0,6,7,7,7,7,7,7,6,2,,16.07,17.86,17.86,16.07,17.86,14.29,8,10,8,9,9,4,3,3,,,,,,,16.36,18.18,18.18,16.36,16.36,14.55,9,10,9,9,9,9,19.61,15.69,15.69,17.65,15.69,15.69,8,10,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,7,0,13,2,2,16,4,,4,7,46,1,0.29,0,26,2,20,35,20,10,10,5,1,9,8,8,8,7,9,9.5,7,2,22,3,,,3,1,5,"10,523","48,441.00",1,6,2,9,7,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8,5,4,17,10,18,20,25,10,,,,,,,30,5,15,20,10,20,6,6,7,7,7,,,,,,1,8,7,6,6,4,4,6,5,2,1,,,,,,,,,,,,3,1,2,,,,,,,20,20,15,15,15,15,,,,,,,,,,,,,6,7,5,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,10,1,20,2,19,15,9,6,4,8,473,0,0.91,0,34,4,15,20,20,15,15,15,1,8,8,10,10,9,9,8,6,2,29,14,"1,340.00","25,380.00",2,6,1,"7,410",,2,6,3,6,3,1,2,7,7,7,6,2,5,9,9,8,10,9,8,7,4,3,,30,15,20,10,10,15,50,0,0,30,0,20,50,0,25,10,15,0,3,7,6,8,6,3,7,8,6,6,0,7,6,8,5,7,4,5,5,0,3,7,7,8,6,6,8,5,7,8,6,7,8,1,3,50,10,10,15,0,15,40,15,10,10,10,15,60,5,5,15,5,10,25,15,20,15,20,5,5,7,7,6,7,5,7,7,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,14,0,26,2,12,14,9,9,11,13,320,0,0.2,0,36,2,20,16,16,16,16,16,0,6,7,4,4,4,,5,1,2,22,9,,,4,6,2,,,1,6,3,2,6,6,9,8,5,5,7,4,5,6,9,9,9,5,5,9,5,7,,16,20,19,16,18,11,22,13,18,18,16,13,22,13,18,18,16,13,6,9,8,8,8,6,8,9,8,7,0,6,6,7,6,6,5,5,5,0,2,,,,,,,,,,,,6,1,3,,,,,,,20,22,18,15,15,10,20,22,18,15,15,10,25,20,15,15,10,15,7,8,7,7,6,7,7,8,7,6,1,1,1,1,1,18,22,20,15,10,15,22,18,18,17,10,15,22,16,20,15,10,17,22,16,20,15,10,17,6,8,7,7,7,6,8,7,7,6
184,1,1,2,1,8,10,9,3,7,6,179,0,0.38,0,30,3,19.15,21.28,17.02,17.02,12.77,12.77,0,3,7,6,4,6,7,2,5,2,34,8,,,2,1,1,"68,005","32,129.00",2,4,2,7,5,2,4,8,8,7,8,3,8,8,3,9,8,5,6,2,8,9,,16.67,16.67,16.67,16.67,16.67,16.67,8,8,8,8,8,8,16.67,16.67,16.67,16.67,16.67,16.67,6,10,7,9,5,,,,,,1,10,10,10,10,10,5,8,5,2,2,20.83,18.75,20.83,18.75,10.42,10.42,5,9,8,7,5,9,3,3,,,,,,,20,17.78,20,17.78,11.11,13.33,10,6,5,9,8,8,16.67,16.67,16.67,16.67,16.67,16.67,6,10,9,7,5,,,,,,4,2,1,1,,17.02,19.15,17.02,17.02,12.77,17.02,,,,,,,8,6,6,8,8,8,8,6,6,8,8,,6,9,9,7,6,,,,,
290,18,1,36,2,11,21,2,2,21,19,270,0,0.6,0,23,4,16,16,19,17,14,18,1,5,6,7,4,6,5,6,5,2,34,10,,,2,2,6,,,2,5,2,2,7,1,8,7,7,4,3,2,1,10,1,3,5,9,10,2,5,5,,30,10,30,10,5,15,30,30,10,20,5,5,15,5,20,30,25,5,5,4,5,10,9,5,7,10,5,7,0,4,6,8,5,5,6,3,3,0,2,30,10,30,10,5,15,5,4,10,5,9,5,1,3,,,,,,,30,10,30,10,5,15,30,20,10,30,5,5,20,5,20,25,25,5,5,4,10,5,9,5,7,10,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,1,1,2,2,11,21,14,14,6,12,263,0,0.39,0,26,1,20,20,20,10,20,10,1,8,10,10,9,10,5,8,5,2,29,10,,,2,8,4,,,2,5,2,2,6,1,5,7,7,4,8,1,3,2,5,7,8,8,8,3,2,5,,30,25,18,18,4,5,37,10,11,20,5,17,17,15,23,20,15,10,7,10,5,7,7,6,9,9,6,8,0,2,8,8,9,7,4,8,5,0,2,30,28,20,15,4,3,10,9,7,5,5,8,1,2,,,,,,,30,25,18,18,4,5,37,10,11,20,5,17,17,19,22,17,15,10,7,8,7,7,7,7,8,9,7,8,1,1,1,1,,30,25,18,18,4,5,60,5,20,10,0,5,37,10,11,20,5,17,17,15,23,20,15,10,7,6,6,6,6,7,9,8,7,9
398,2,1,4,2,15,18,7,13,13,1,379,0,0.22,1,38,2,15,15,20,15,15,20,0,7,7,7,7,7,7,7,1,1,29,8,,,2,7,2,"9,012",,2,3,1,7,4,1,2,10,7,7,9,9,8,7,7,7,9,6,5,6,2,8,,45,10,10,30,0,5,35,20,10,20,5,10,20,20,20,20,10,10,7,6,10,7,8,7,6,8,10,7,0,,,,,,,,,1,3,45,5,10,20,10,10,7,7,9,10,8,7,1,3,50,0,15,30,0,5,50,5,10,25,0,10,40,10,15,20,5,10,30,15,15,20,10,10,7,7,9,10,7,7,6,9,10,7,6,4,0,,,45,5,15,25,5,5,45,0,15,35,0,5,35,10,15,20,10,10,20,20,20,25,10,5,7,7,8,10,7,7,7,8,10,7
455,2,0,3,1,18,6,3,3,6,1,460,0,0.25,0,33,2,20,10,20,15,15,20,0,8,9,10,10,8,7,10,10,2,24,10,,"24,794.00",4,5,5,"560,032",,1,6,2,2,3,5,3,10,10,7,7,1,8,10,4,8,9,8,9,9,7,4,,10,25,20,16,20,9,20,16,13,19,13,19,25,12,12,20,11,20,7,9,9,8,8,7,8,8,7,9,1,7,7,8,8,8,7,7,6,0,2,3,8,8,7,8,5,7,9,8,8,8,5,1,3,10,10,15,25,15,25,10,20,15,20,20,15,20,15,15,20,15,15,20,15,15,20,15,15,8,9,8,8,8,8,9,8,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,15,1,29,2,19,15,14,5,10,11,476,0,-0.08,0,25,2,20,20,20,15,15,10,0,4,3,5,7,3,2,3,3,2,32,15,,,6,5,6,"33,184","35,409.00",2,2,1,6,7,5,6,7,5,6,7,7,6,5,6,7,7,6,5,5,6,6,,20,20,20,15,15,10,20,20,30,10,20,10,20,10,20,20,15,15,7,7,7,8,9,7,9,9,8,8,0,7,7,7,5,4,4,6,7,0,4,7,7,6,7,6,6,8,7,7,7,8,6,1,1,20,16,16,16,16,16,20,16,16,16,16,16,16,20,16,16,16,16,16,20,16,16,16,16,8,9,9,8,9,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,8,0,15,1,3,10,2,,8,7,72,0,0.21,0,22,2,21,20,19,20,10,10,0,5,8,8,5,7,6,6,6,2,24,1,,,4,1,3,"94,306","50,948.00",3,6,1,10,5,3,8,6,9,8,5,1,2,10,1,8,9,4,5,6,2,6,2,5,15,45,25,0,10,,,,,,,50,5,20,15,0,10,6,8,9,8,7,,,,,,0,3,8,5,3,7,1,1,3,2,,,,,,,,,,,,,4,3,3,,,,,,,20,0,30,50,0,0,,,,,,,,,,,,,5,5,9,9,3,,,,,,0,0,0,,,25,5,40,20,5,5,,,,,,,,,,,,,,,,,,,6,6,7,9,5,,,,,
209,16,0,31,2,9,20,20,20,14,8,221,0,-0.01,0,27,4,15.56,17.78,17.78,17.78,17.78,13.33,0,4,8,6,6,3,2,4,7,2,28,13,,,1,7,3,"12,601","30,855.00",3,6,2,7,3,2,6,8,5,5,6,8,8,3,6,7,8,7,10,3,3,7,,13.04,21.74,17.39,17.39,15.22,15.22,7,7,8,7,8,8,20.93,13.95,13.95,18.6,13.95,18.6,7,9,8,7,8,,,,,,0,8,7,9,7,7,,,,,0,13.04,19.57,15.22,19.57,15.22,17.39,7,9,7,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,10,1,20,2,15,18,18,18,1,12,390,0,0.56,1,30,4,10,20,20,10,10,30,1,8,10,10,8,8,,8,8,2,27,8,,,4,1,1,"400,051",,1,6,2,7,4,6,8,9,6,7,8,6,6,7,7,8,9,7,10,2,1,6,,20,20,20,20,20,0,40,0,20,30,0,10,20,20,20,20,20,0,6,7,8,8,9,6,8,7,7,8,0,2,4,4,5,4,4,2,6,2,2,20,20,20,20,10,10,3,7,5,6,7,7,3,3,,,,,,,20,20,20,20,10,10,40,10,20,20,5,5,20,20,25,25,15,0,6,7,8,7,8,6,7,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,9,1,18,2,15,18,10,6,5,13,391,0,0.17,0,28,2,35,0,35,10,10,10,0,5,8,7,5,8,3,6,6,2,30,13,"1,130.00","20,100.00",1,1,1,"10,021","55,080.00",4,5,5,9,6,1,6,9,8,9,2,6,8,8,6,10,9,7,9,9,5,6,,30,25,20,15,5,5,25,10,25,15,20,5,25,10,25,15,20,5,8,8,10,9,10,8,8,9,10,9,1,7,7,10,10,7,3,9,5,2,1,20,20,20,20,10,10,8,8,9,10,10,6,1,3,,,,,,,50,10,10,10,10,10,20,10,20,10,30,10,50,10,10,10,10,10,8,8,9,10,10,8,9,9,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,5,1,10,2,9,20,13,19,15,12,205,0,0.59,1,23,2,15.38,17.31,19.23,19.23,11.54,17.31,0,5,8,8,6,6,5,6,6,2,24,10,,,2,9,5,"80,798",,1,4,2,2,9,3,5,7,9,10,7,3,7,5,1,5,7,8,8,6,1,3,,20.51,5.13,23.08,12.82,17.95,20.51,10,5,2,4,2,4,17.39,19.57,15.22,19.57,15.22,13.04,7,6,3,10,10,,,,,,1,6,6,7,6,6,7,6,6,2,,16.67,4.76,23.81,11.9,23.81,19.05,7,5,10,3,10,4,3,2,,,,,,,20,5,22.5,12.5,20,20,10,5,4,6,4,4,17.95,17.95,17.95,20.51,12.82,12.82,7,4,10,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,20,0,39,2,21,22,19,19,2,5,535,0,-0.43,0,23,2,23,14,19,16,10,18,0,6,8,7,6,8,5,6,4,2,29,11,"1,310.00","33,585.00",3,8,7,"10,029","15,863.00",2,6,1,11,5,8,4,2,2,2,8,6,2,2,2,3,7,3,3,2,2,4,,40,10,30,10,10,,20,30,30,10,10,,55,5,10,10,10,10,9,6,8,8,8,9,5,8,8,9,0,2,2,7,1,8,1,1,1,0,2,,,,,,,,,,,,4,1,2,60,5,10,10,0,15,40,10,30,10,10,0,40,5,25,10,5,15,50,0,15,15,5,15,9,8,9,9,9,9,6,9,10,10,0,0,0,0,,30,15,20,15,10,10,40,10,20,10,10,0,30,10,10,20,10,20,40,5,15,15,10,15,9,8,9,10,10,9,10,9,10,10
256,5,0,9,2,11,21,7,7,7,5,277,0,-0.39,0,25,2,60,20,0,20,0,0,0,7,7,7,7,,,7,2,2,24,4,"1,400.00","26,019.00",4,6,5,"22,015","62,997.00",2,6,4,4,5,3,6,7,6,5,6,5,5,5,8,6,8,8,8,9,3,6,,15,25,20,20,10,10,20,15,15,20,10,20,30,10,20,25,5,10,6,9,6,8,6,7,7,8,6,7,0,6,6,6,6,7,4,5,6,0,2,20,25,20,10,10,15,7,8,8,7,7,5,1,3,,,,,,,20,20,20,20,10,10,25,15,15,20,15,10,35,10,15,20,5,15,7,8,8,7,7,7,7,8,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3,1,6,1,1,10,4,,7,5,5,0,-0.17,0,21,2,20,5,25,25,10,15,0,4,6,8,8,6,5,6,5,1,22,1,,,4,3,5,"92,821",,2,7,1,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,4,19,18,19,18,14,12,,,,,,,20,16,16,18,16,14,4,7,8,8,3,,,,,,1,10,10,10,10,10,10,10,10,1,,,,,,,,,,,,,10,3,1,,,,,,,20,20,20,20,7.5,12.5,,,,,,,,,,,,,3,7,7,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,3,1,6,2,2,19,5,,11,1,21,0,0.46,1,21,4,12,18,20,16,16,18,1,8,9,8,8,7,6,9,3,,23,5,,,4,1,6,"94,133","28,891.00",2,7,4,5,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1,6,3,20,25,20,15,10,10,,,,,,,25,10,10,30,5,20,6,9,6,8,4,,,,,,0,3,10,9,5,9,2,6,7,2,1,,,,,,,,,,,,8,3,3,,,,,,,30,30,10,15,10,5,,,,,,,,,,,,,7,9,8,6,6,,,,,,0,0,0,,,15,30,15,15,10,15,,,,,,,,,,,,,,,,,,,7,9,8,7,6,,,,,
287,15,1,30,2,11,21,5,5,14,7,258,0,0.13,0,25,6,7,35,20,20,5,13,0,4,3,7,3,6,,5,4,2,22,13,"1,310.00","33,585.00",4,1,1,"6,320",,1,7,3,6,2,1,5,7,2,2,9,6,4,10,8,8,10,8,8,8,8,8,,35,40,5,5,7,8,25,25,5,25,5,15,18,20,10,25,7,20,7,10,5,7,10,7,8,7,4,10,1,8,6,5,4,4,4,5,5,0,9,20,12,12,20,11,25,8,8,8,8,8,7,1,1,,,,,,,25,10,10,25,5,25,25,8,15,25,7,20,25,10,15,25,5,20,8,8,8,8,9,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,8,0,15,2,4,18,12,,13,18,111,0,0.4,0,27,4,20,20,20,20,10,10,0,3,7,6,7,5,8,6,4,2,35,8,,,3,1,5,"10,019",,2,6,1,7,5,1,3,5,7,8,3,1,6,8,3,7,8,7,8,4,7,6,3,10,32,20,12,11,15,,,,,,,15,25,10,15,10,25,5,9,9,5,5,,,,,,0,4,8,6,8,7,8,4,3,2,0,,,,,,,,,,,,2,3,3,,,,,,,10,25,20,15,10,20,,,,,,,,,,,,,5,10,8,9,7,,,,,,0,0,0,,,10,30,25,5,15,15,,,,,,,,,,,,,,,,,,,6,10,8,9,7,,,,,
164,7,1,14,2,7,16,15,4,12,13,154,0,0.66,1,27,2,15.38,17.31,17.31,17.31,17.31,15.38,0,7,9,9,9,7,5,7,5,2,27,7,,,2,1,1,"90,291","31,560.00",1,6,2,2,7,5,5,6,7,7,7,1,3,7,2,5,6,4,6,2,2,5,,20.51,23.08,20.51,17.95,2.56,15.38,8,5,5,5,5,5,21.88,15.63,15.63,15.63,15.63,15.63,7,9,6,9,4,,,,,,0,8,7,7,,,,6,2,0,3,19.05,21.43,21.43,16.67,9.52,11.9,8,9,9,7,3,7,3,3,,,,,,,19.51,21.95,21.95,17.07,7.32,12.2,9,7,7,8,6,7,16.67,16.67,16.67,16.67,16.67,16.67,8,9,9,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,3,1,6,2,19,15,1,7,10,7,472,0,0.61,0,25,3,10,25,25,20,10,10,0,3,4,6,7,5,5,5,9,2,28,3,,,2,1,1,,,6,3,1,2,10,1,10,10,10,10,5,1,1,10,5,10,10,10,10,10,5,5,,40,20,20,20,0,0,50,0,10,20,0,20,20,0,40,5,5,30,8,10,10,10,10,8,10,10,10,10,0,8,10,10,10,7,8,7,8,0,3,9,10,10,10,5,5,8,10,10,10,5,8,1,3,40,20,20,10,0,10,40,20,20,20,0,0,50,20,0,10,10,10,30,40,10,0,10,10,8,10,10,10,10,8,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,16,0,31,2,2,16,6,,1,9,48,0,0.28,1,22,2,30,15,25,25,5,0,0,6,8,7,7,9,4,6,7,2,26,2,,,2,7,8,"8,691",,2,5,2,4,6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5,1,6,8,20,25,20,15,15,5,,,,,,,40,5,10,30,5,10,8,7,8,8,6,,,,,,0,3,1,2,2,2,3,2,5,2,0,,,,,,,,,,,,3,1,3,,,,,,,40,10,20,20,5,5,,,,,,,,,,,,,8,7,7,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,19,0,37,2,9,20,10,10,7,14,227,0,0.12,0,26,2,20,16,18,16,16,14,0,6,8,8,6,6,6,6,6,2,27,8,,,3,3,6,"11,364","45,695.00",1,5,2,7,8,5,8,8,8,8,8,6,9,8,8,8,8,6,7,8,3,5,,14.29,18.37,18.37,16.33,18.37,14.29,9,6,6,9,6,6,22.5,15,15,22.5,12.5,12.5,7,9,7,8,9,,,,,,1,8,7,8,7,8,6,7,6,2,7,17.07,19.51,19.51,9.76,17.07,17.07,7,8,7,7,8,7,1,2,,,,,,,14.89,19.15,19.15,14.89,17.02,14.89,8,6,6,8,6,6,20.51,15.38,15.38,20.51,15.38,12.82,7,8,7,7,8,,,,,,0,4,1,3,,15.22,17.39,17.39,17.39,17.39,15.22,,,,,,,8,7,6,8,6,6,8,6,6,8,6,,7,8,8,7,8,,,,,
519,11,0,21,2,21,22,20,20,11,22,552,0,0.45,1,25,2,70,0,15,15,0,0,0,3,4,7,6,6,,6,4,2,26,9,"1,450.00","26,100.00",2,8,9,"2,420",,2,4,2,13,9,5,9,5,8,7,7,2,3,9,4,7,8,7,8,2,2,6,,40,5,30,15,5,5,50,5,10,5,30,0,80,2,5,10,1,2,8,10,9,9,10,8,10,10,8,10,0,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,12,0,23,2,11,21,14,14,5,19,291,0,-0.2,0,27,4,20,20,15,15,12,18,1,5,10,8,8,6,6,6,6,2,26,3,"1,450.00","26,100.00",1,9,10,"11,212","18,283.00",1,6,2,10,1,1,1,5,7,7,7,1,3,9,4,7,7,7,8,9,6,1,,20,20,20,10,20,10,10,30,30,5,20,5,50,30,5,5,5,5,8,8,8,8,5,8,7,10,9,8,0,4,10,10,8,10,2,8,4,0,2,,,,,,,,,,,,5,3,2,,,,,,,20,20,20,20,10,10,10,30,10,10,30,10,36.36,18.18,9.09,18.18,4.55,13.64,8,8,8,10,6,8,8,9,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,15,1,30,2,11,21,15,15,3,13,264,0,0.1,0,26,2,15,15,25,20,5,20,0,2,3,6,4,6,5,3,3,2,22,13,"1,310.00","33,585.00",4,1,1,"6,320",,1,7,3,6,2,1,5,7,2,2,9,6,4,10,8,8,10,8,8,8,8,8,,35,40,5,5,7,8,25,25,5,25,5,15,18,20,10,25,7,20,7,10,5,7,10,7,8,7,4,10,1,8,8,8,8,7,10,9,8,0,9,20,12,12,20,11,25,8,8,8,8,8,7,1,1,,,,,,,25,10,10,25,5,25,25,8,15,25,7,20,25,10,15,25,5,20,8,8,8,8,9,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,11,0,21,2,14,18,11,11,1,4,364,1,0.04,0,27,3,25,25,25,15,10,0,1,9,9,9,9,9,7,9,7,2,35,9,"1,290.00","15,309.00",4,1,3,"90,504",,2,5,4,2,5,2,5,10,10,10,7,2,3,10,3,10,10,10,10,5,5,8,,15,15,30,15,15,10,30,10,10,30,10,10,30,10,10,30,10,10,8,10,7,8,9,8,8,8,8,8,1,8,8,8,8,8,8,8,7,0,,,,,,,,,,,,,5,3,3,,,,,,,15,20,20,15,15,15,30,10,10,30,10,10,30,10,10,30,10,10,6,9,9,9,9,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,15,0,29,2,4,18,4,,16,3,96,0,0.13,0,26,3,10,20,20,22,6,22,0,6,8,7,6,6,,6,7,2,23,10,,,4,4,1,"300,151",,2,7,7,10,8,9,6,5,8,9,6,3,1,10,6,7,8,7,6,4,1,5,0,15,21,18,18,10,18,,,,,,,10,25,15,15,10,25,5,8,5,7,5,,,,,,0,5,5,6,5,6,7,6,0,2,2,,,,,,,,,,,,6,1,2,,,,,,,15,20,20,15,10,20,,,,,,,,,,,,,3,7,8,6,2,,,,,,0,0,0,,,10,20,20,20,10,20,,,,,,,,,,,,,,,,,,,6,6,8,6,4,,,,,
266,15,0,29,2,11,21,10,10,11,20,292,1,0.53,0,28,1,20,18,20,17,10,15,1,7,10,8,5,7,4,7,8,2,28,16,"1,330.00","34,290.00",2,2,2,,,2,7,3,10,5,4,5,4,7,8,8,1,6,5,1,4,10,6,7,2,6,4,,25,20,20,25,0,10,30,10,10,20,20,10,39,20,15,20,0,6,8,8,7,7,4,7,7,7,7,5,1,6,7,8,6,4,0,6,3,0,4,30,25,20,25,0,0,8,5,8,9,4,4,3,2,,,,,,,30,20,15,20,0,15,30,15,20,15,10,10,45,15,10,10,10,10,8,8,7,8,4,8,8,6,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,14,0,27,2,11,21,19,19,21,11,283,0,-0.14,0,27,4,50,10,10,10,10,10,1,10,10,10,10,10,10,10,10,2,32,1,"1,450.00","25,917.00",2,3,3,"10,538","73,073.00",4,5,2,2,2,9,8,8,7,8,2,1,2,10,6,7,10,8,9,2,1,3,,15,5,45,10,15,10,40,5,20,15,2,18,68,5,10,10,2,5,7,9,7,10,10,6,10,10,4,7,0,,,,,,,,,,0,45,10,10,15,10,10,3,3,9,3,9,2,1,2,,,,,,,50,1,19,1,9,10,60,2,10,10,3,15,60,2,10,10,3,15,4,7,9,4,10,4,5,10,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
